datetime,ticker,cash,TradeRiskAmt,TradeCapital,OrderShares,FloorPrice,CeilingPrice,Decision
2020-05-20 13:59:00,GOLF,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,HEI,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,HGV,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,HRTX,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,INSM,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,KT,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,KTOS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,LEVI,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,LOGI,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,LPSN,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,LX,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,MAIN,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,NBR,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,NS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,NWS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,PNR,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,POL,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,PRSP,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,RAMP,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,RCII,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,RCUS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,RHI,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,RXN,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,SCZ,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,SKY,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,SRCL,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,SWCH,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,TWST,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,VAC,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,WGO,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,WSC,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,WYND,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,YY,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ANAB,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ATNX,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,CAMT,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,CCS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,CHH,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,CLLS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,CMPR,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ECOM,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ENS,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ENSG,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,ENV,599.442500000001,2.997212500000005,0,0,0,0,skip
2020-05-20 13:59:00,EVR,599.442500000001,2.997212500000005,0,0,0,0,skip
